modulnoe-zdanie-iz-sendvich-panelej-mz-02	0	0	1	0X1,2x1,2x3,	920900
modulnoe-zdanie-iz-sendvich-panelej-mz-03	0	0	1	0X1,2x1,2x3,	1322800
modulnoe-zdanie-iz-sendvich-panelej-mz-04	0	0	1	0X1,2x1,2x3,	1796600
modulnoe-zdanie-iz-sendvich-panelej-mz-05	0	0	1	0X1,2x1,2x3,	2246300
modulnoe-zdanie-iz-sendvich-panelej-mz-06	0	0	1	0X1,2x1,2x3,	1962700
modulnoe-zdanie-iz-sendvich-panelej-mz-11	0	0	1	0X1,2x1,2x3,	9439100
modulnoe-zdanie-iz-sendvich-panelej-mz-12	0	0	1	0X1,2x1,2x3,	1018900
modulnoe-zdanie-iz-sendvich-panelej-obshhezhitie-mz-07	0	0	1	0X1,2x1,2x3,	9567500
modulnoe-zdanie-iz-sendvich-panelej-obshhezhitie-mz-08	0	0	1	0X1,2x1,2x3,	5938400
modulnoe-zdanie-iz-sendvich-panelej-stolovaya-mz-09	0	0	1	0X1,2x1,2x3,	2334500
modulnoe-zdanie-iz-sendvich-panelej-stolovaya-mz-10	0	0	1	0X1,2x1,2x3,	2672400
modulnoe-zdanie-mz-01	0	0	1	0X1,2x1,2x3,	319800
modulnoe-zdanie-mz-02	0	0	1	0X1,2x1,2x3,	326900
modulnoe-zdanie-mz-03	0	0	1	0X1,2x1,2x3,	479700
modulnoe-zdanie-mz-04	0	0	1	0X1,2x1,2x3,	646600
modulnoe-zdanie-mz-05	0	0	1	0X1,2x1,2x3,	811400
modulnoe-zdanie-mz-06	0	0	1	0X1,2x1,2x3,	918800
modulnoe-zdanie-mz-11	0	0	1	0X1,2x1,2x3,	4876000
modulnoe-zdanie-mz-12	0	0	1	0X1,2x1,2x3,	479600
modulnoe-zdanie-obshhezhitie-mz-07	0	0	1	0X1,2x1,2x3,	4554700
modulnoe-zdanie-obshhezhitie-mz-08	0	0	1	0X1,2x1,2x3,	2939600
modulnoe-zdanie-obshhezhitie-mz-13	0	0	1	0X1,2x1,2x3,	21308200
modulnoe-zdanie-stolovaya-mz-09	0	0	1	0X1,2x1,2x3,	1074700
modulnoe-zdanie-stolovaya-mz-10	0	0	1	0X1,2x1,2x3,	1018400
post-ohrany-kpp-bkpo-01	0	0	1	0X1,2x1,2x3,	152300
post-ohrany-kpp-bkpo-02	0	0	1	0X1,2x1,2x3,	79900
post-ohrany-kpp-bkpo-03	0	0	1	0X1,2x1,2x3,	164800
post-ohrany-kpp-bkpo-04	0	0	1	0X1,2x1,2x3,	167800
post-ohrany-kpp-bkpo-05	0	0	1	0X1,2x1,2x3,	305200
post-ohrany-kpp-iz-sendvich-panelej-bkpo-01	0	0	1	0X1,2x1,2x3,	457900
post-ohrany-kpp-iz-sendvich-panelej-bkpo-02	0	0	1	0X1,2x1,2x3,	252800
post-ohrany-kpp-iz-sendvich-panelej-bkpo-03	0	0	1	0X1,2x1,2x3,	493700
post-ohrany-kpp-iz-sendvich-panelej-bkpo-04	0	0	1	0X1,2x1,2x3,	484900
post-ohrany-kpp-iz-sendvich-panelej-bkpo-05	0	0	1	0X1,2x1,2x3,	794100
